trade_date,open,high,low,close,pre_close,volume,change,pct_change,value,ema_fast,ema_slow,diff,dea,bar
2018-02-06,22.5829,22.8869,21.2654,21.6201,23.1234,682873.15,-1.5032999999999994,-6.5012,1788770.23,21.58709964628448,20.361702358365424,1.225397287919055,1.2220824600598637,0.006629655718382477
2018-02-07,22.2113,22.3802,19.4581,19.4665,21.6201,934291.42,-2.153600000000001,-9.9611,2268034.475,21.260853546856097,20.295391072560577,0.9654624742955207,1.1707584629069951,-0.41059197722294893
2018-02-08,19.2554,19.7283,18.7402,19.0274,19.4665,548448.97,-0.4390999999999998,-2.2557,1245246.408,20.917245308878236,20.20146580792646,0.7157795009517756,1.0797626705159513,-0.7279663391283515
2018-02-09,18.4109,18.7402,17.2369,17.8197,19.0274,777860.76,-1.207699999999999,-6.3472,1643668.398,20.440699876743125,20.025038711043017,0.4156611657001079,0.9469423695527827,-1.0625624077053495
2018-02-12,17.8619,18.5713,17.541,18.394,17.8197,533407.44,0.5742999999999974,3.2228,1135852.989,20.1258229726288,19.90422102874353,0.22160194388526833,0.8018742844192799,-1.160544681068023
2018-02-13,18.622,19.6016,18.4531,19.1709,18.394,443726.03,0.7769000000000013,4.2237,1009650.54,19.978911746070523,19.849900952540306,0.12901079353021672,0.6673015862414673,-1.0765815854225012
2018-02-14,19.1709,19.7199,18.926,19.5932,19.1709,237670.64,0.4222999999999999,2.2028,547746.218,19.919571477444286,19.83088606716695,0.08868541027733556,0.551578351048641,-0.9257858815426108
2018-02-22,20.0155,20.083,19.3398,19.6861,19.5932,383200.03,0.0929000000000002,0.4741,895635.235,19.883652788606703,19.82016117330273,0.06349161530397396,0.45396100389970756,-0.7809387771914672
2018-02-23,19.8466,20.3448,19.5087,20.0408,19.6861,298815.14,0.3547000000000011,1.8018,708214.511,19.907829282667212,19.83650479009512,0.07132449257209217,0.3774337016341845,-0.6122184181241846
2018-02-26,20.0155,20.0577,18.5206,19.5172,20.0408,497712.87,-0.5236000000000018,-2.6127,1130979.348,19.84773246994918,19.812852583421407,0.034879886527772186,0.30892293861290204,-0.5480861041702597
2018-02-27,19.4834,19.4834,18.3095,18.5037,19.5172,648896.66,-1.0135000000000003,-5.1929,1434279.771,19.64095824380315,19.715878317982785,-0.07492007417963364,0.23215433605439492,-0.6141488204680572
2018-02-28,18.2926,19.0611,17.9548,18.47,18.5037,663666.99,-0.0336999999999996,-0.1821,1453532.505,19.46081082167959,19.623591035169245,-0.1627802134896541,0.15316742614558512,-0.6318952792704784
2018-03-01,18.2419,18.7149,17.9886,18.3095,18.47,317371.86,-0.1604999999999989,-0.869,690293.714,19.28368607988273,19.526250958490042,-0.24256487860731113,0.07402096519500587,-0.633171687604634
2018-03-02,18.1744,18.7064,17.9801,18.5206,18.3095,330111.18,0.2111000000000018,1.153,719206.008,19.166288221439235,19.451758294898188,-0.2854700734589528,0.0021227574642141284,-0.5751856618463339
